start_id,end_id,relation,:TYPE
200272,100579,in_charge_of,in_charge_of
200273,100580,in_charge_of,in_charge_of
200274,100581,in_charge_of,in_charge_of
200275,100591,in_charge_of,in_charge_of
200276,100595,in_charge_of,in_charge_of
200277,100596,in_charge_of,in_charge_of
200278,100600,in_charge_of,in_charge_of
200279,100601,in_charge_of,in_charge_of
200280,100602,in_charge_of,in_charge_of
200281,100603,in_charge_of,in_charge_of
200282,100604,in_charge_of,in_charge_of
200283,100605,in_charge_of,in_charge_of
200284,100606,in_charge_of,in_charge_of
200285,100607,in_charge_of,in_charge_of
200286,100608,in_charge_of,in_charge_of
200287,100609,in_charge_of,in_charge_of
200288,100610,in_charge_of,in_charge_of
200289,100611,in_charge_of,in_charge_of
200290,100612,in_charge_of,in_charge_of
200291,100613,in_charge_of,in_charge_of
200292,100614,in_charge_of,in_charge_of
200293,100615,in_charge_of,in_charge_of
200294,100616,in_charge_of,in_charge_of
200295,100617,in_charge_of,in_charge_of
200296,100618,in_charge_of,in_charge_of
200297,100619,in_charge_of,in_charge_of
200298,100620,in_charge_of,in_charge_of
200299,100621,in_charge_of,in_charge_of
200300,100622,in_charge_of,in_charge_of
200301,100623,in_charge_of,in_charge_of
200302,100624,in_charge_of,in_charge_of
200303,100625,in_charge_of,in_charge_of
200304,100626,in_charge_of,in_charge_of
200305,100627,in_charge_of,in_charge_of
200306,100628,in_charge_of,in_charge_of
200307,100629,in_charge_of,in_charge_of
200308,100635,in_charge_of,in_charge_of
200309,100638,in_charge_of,in_charge_of
200310,100646,in_charge_of,in_charge_of
200311,100648,in_charge_of,in_charge_of
200312,100656,in_charge_of,in_charge_of
200313,100659,in_charge_of,in_charge_of
200314,100660,in_charge_of,in_charge_of
200315,100662,in_charge_of,in_charge_of
200316,100663,in_charge_of,in_charge_of
200317,100664,in_charge_of,in_charge_of
200318,100665,in_charge_of,in_charge_of
200319,100669,in_charge_of,in_charge_of
200320,100678,in_charge_of,in_charge_of
200321,100681,in_charge_of,in_charge_of
200322,100686,in_charge_of,in_charge_of
200323,100699,in_charge_of,in_charge_of
200324,100703,in_charge_of,in_charge_of
200325,100705,in_charge_of,in_charge_of
200326,100727,in_charge_of,in_charge_of
200327,100733,in_charge_of,in_charge_of
200328,100737,in_charge_of,in_charge_of
200329,100738,in_charge_of,in_charge_of
200330,100739,in_charge_of,in_charge_of
200331,100740,in_charge_of,in_charge_of
200332,100741,in_charge_of,in_charge_of
200333,100742,in_charge_of,in_charge_of
200334,100743,in_charge_of,in_charge_of
200335,100744,in_charge_of,in_charge_of
200336,100745,in_charge_of,in_charge_of
200337,100746,in_charge_of,in_charge_of
200338,100747,in_charge_of,in_charge_of
200339,100748,in_charge_of,in_charge_of
200340,100749,in_charge_of,in_charge_of
200341,100750,in_charge_of,in_charge_of
200342,100751,in_charge_of,in_charge_of
200343,100752,in_charge_of,in_charge_of
200344,100753,in_charge_of,in_charge_of
200345,100754,in_charge_of,in_charge_of
200346,100755,in_charge_of,in_charge_of
200347,100756,in_charge_of,in_charge_of
200348,100757,in_charge_of,in_charge_of
200349,100758,in_charge_of,in_charge_of
200350,100759,in_charge_of,in_charge_of
200351,100760,in_charge_of,in_charge_of
200352,100761,in_charge_of,in_charge_of
200353,100762,in_charge_of,in_charge_of
200354,100763,in_charge_of,in_charge_of
200355,100764,in_charge_of,in_charge_of
200356,100765,in_charge_of,in_charge_of
200357,100766,in_charge_of,in_charge_of
200358,100767,in_charge_of,in_charge_of
200359,100768,in_charge_of,in_charge_of
200360,100769,in_charge_of,in_charge_of
200361,100770,in_charge_of,in_charge_of
200362,100771,in_charge_of,in_charge_of
200363,100803,in_charge_of,in_charge_of
200364,100804,in_charge_of,in_charge_of
200365,100813,in_charge_of,in_charge_of
200366,100817,in_charge_of,in_charge_of
200367,100820,in_charge_of,in_charge_of
200368,100821,in_charge_of,in_charge_of
200369,100827,in_charge_of,in_charge_of
200370,100830,in_charge_of,in_charge_of
200371,100832,in_charge_of,in_charge_of
200372,100833,in_charge_of,in_charge_of
200373,100834,in_charge_of,in_charge_of
200374,100844,in_charge_of,in_charge_of
200375,100847,in_charge_of,in_charge_of
200376,100848,in_charge_of,in_charge_of
200377,100850,in_charge_of,in_charge_of
200378,100852,in_charge_of,in_charge_of
